name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Jeff Lebo,1990,1990,1966-10-05,University of North Carolina,Jeff Lebo,1.9,81.6,24,24,G,G,22.6,16.4,13.4,68.2
Eric Leckner,1989,1997,1966-05-27,University of Wyoming,Eric Leckner,2.1,120.2,23,31,C/F,C,27.3,23.7,28.5,91.7
Ricky Ledo,2014,2015,1992-09-10,Unknown,Ricky Ledo,2.0,88.5,22,23,G,G,22.1,15.6,13.8,74.7
Butch Lee,1979,1980,1956-12-05,Marquette University,Butch Lee,1.8,83.9,23,24,G,G,25.9,20.4,17.1,66.8
Clyde Lee,1967,1976,1944-03-14,Vanderbilt University,Clyde Lee,2.1,93.0,23,32,F/C,F,21.1,16.5,15.3,77.7
Courtney Lee,2009,2018,1985-10-03,Western Kentucky University,Courtney Lee,2.0,90.7,24,33,G,G,22.7,18.6,16.9,73.8
David Lee,1968,1969,1942-03-31,University of San Francisco,David Lee,2.0,102.1,26,27,F,F,25.5,20.6,21.0,81.1
David Lee,2006,2017,1983-04-29,University of Florida,David Lee,2.1,111.1,23,34,F,F,25.2,21.9,24.3,86.8
Dick Lee,1968,1968,,University of Washington,Dick Lee,2.0,,,,F,F,,,,
Doug Lee,1992,1995,1964-10-24,Purdue University,Doug Lee,2.0,90.7,28,31,G/F,G,22.7,18.2,16.5,74.2
George Lee,1961,1968,1936-11-23,University of Michigan,George Lee,1.9,90.7,25,32,F/G,F,25.1,21.3,19.3,71.4
Greg Lee,1975,1976,1951-12-12,"University of California, Los Angeles",Greg Lee,1.9,86.2,24,25,G,G,23.9,18.2,15.7,70.5
Keith Lee,1986,1989,1962-12-28,University of Memphis,Keith Lee,2.1,97.5,24,27,F/C,F,22.1,16.5,16.1,81.4
Kurk Lee,1991,1991,1967-06-03,Towson University,Kurk Lee,1.9,86.2,24,24,G,G,23.9,18.0,15.5,70.7
Malcolm Lee,2012,2015,1990-05-22,"University of California, Los Angeles",Malcolm Lee,2.0,90.7,22,25,G,G,22.7,16.8,15.2,75.5
Rock Lee,1982,1982,1955-05-01,San Diego State University,Rock Lee,2.1,99.8,27,27,C,C,22.6,17.1,17.1,82.7
Ron Lee,1977,1982,1952-11-02,University of Oregon,Ron Lee,1.9,87.5,25,30,G,G,24.2,19.7,17.2,70.3
Russ Lee,1973,1975,1950-01-27,Marshall University,Russ Lee,2.0,83.9,23,25,G/F,G,21.0,14.8,12.4,71.5
Ed Leede,1950,1951,1927-07-17,Dartmouth College,Ed Leede,1.9,83.9,23,24,F/G,F,23.2,17.2,14.4,69.5
Hank Lefkowitz,1947,1947,1923-08-31,Case Western Reserve University,Hank Lefkowitz,1.9,86.2,24,24,F,F,23.9,18.0,15.5,70.7
Tim Legler,1990,2000,1966-12-26,La Salle University,Tim Legler,1.9,90.7,24,34,G,G,25.1,21.7,19.7,71.0
George Lehmann,1968,1974,1942-05-01,Campbell University,George Lehmann,1.8,81.6,26,32,G,G,25.2,21.4,17.5,64.1
Alex Len,2014,2018,1993-06-16,University of Maryland,Alex Len,2.2,117.9,21,25,C,C,24.4,18.8,22.2,95.7
Voshon Lenard,1996,2006,1973-05-14,University of Minnesota,Voshon Lenard,1.9,93.0,23,33,G,G,25.8,22.4,20.8,72.2
Leary Lentz,1968,1969,1945-02-23,University of Houston,Leary Lentz,2.0,90.7,23,24,F,F,22.7,16.6,15.1,75.6
Gary Leonard,1990,1992,1967-02-16,University of Missouri,Gary Leonard,2.2,113.4,23,25,C,C,23.4,17.6,20.0,93.4
Kawhi Leonard,2012,2018,1991-06-29,San Diego State University,Kawhi Leonard,2.0,104.3,21,27,F,F,26.1,21.3,22.2,82.1
Meyers Leonard,2013,2018,1992-02-27,University of Illinois at Urbana-Champaign,Meyers Leonard,2.2,111.1,21,26,C/F,C,23.0,17.4,19.3,91.8
Slick Leonard,1957,1963,1932-07-17,Indiana University,Slick Leonard,1.9,83.9,25,31,G,G,23.2,18.8,15.8,68.1
Jim Les,1989,1995,1963-08-18,Bradley University,Jim Les,1.8,74.8,26,32,G,G,23.1,18.9,14.1,60.7
Travis Leslie,2012,2012,1990-03-29,University of Georgia,Travis Leslie,1.9,93.0,22,22,G,G,25.8,19.8,18.4,74.6
Ronnie Lester,1981,1986,1959-01-01,University of Iowa,Ronnie Lester,1.9,79.4,22,27,G,G,22.0,16.4,13.0,66.4
Clifford Lett,1990,1991,1965-12-23,University of Florida,Clifford Lett,1.9,77.1,25,26,G,G,21.4,15.5,12.0,65.1
Jon Leuer,2012,2018,1989-05-14,University of Wisconsin,Jon Leuer,2.1,103.4,23,29,F,F,23.4,18.6,19.2,84.2
Andrew Levane,1949,1953,1920-04-11,St. John's University,Andrew Levane,1.9,86.2,29,33,F/G,F,23.9,20.1,17.3,68.9
Fat Lever,1983,1994,1960-08-18,Arizona State University,Fat Lever,1.9,77.1,23,34,G,G,21.4,17.3,13.3,63.8
Caris LeVert,2017,2018,1994-08-25,University of Michigan,Caris Levert,2.0,92.1,23,24,G/F,G,23.0,16.9,15.6,76.5
Cliff Levingston,1983,1995,1961-01-04,Wichita State University,Cliff Levingston,2.0,95.3,22,34,F,F,23.8,20.2,19.3,76.0
Bobby Lewis,1968,1971,1945-03-20,University of North Carolina,Bobby Lewis,1.9,79.4,23,26,G,G,22.0,16.2,12.9,66.5
Cedric Lewis,1996,1996,1969-09-24,University of Maryland,Cedric Lewis,2.1,106.6,27,27,F/C,F,24.2,19.0,20.3,86.3
Freddie Lewis,1949,1950,1921-01-06,Eastern Kentucky University,Freddie Lewis,1.9,88.5,28,29,F/G,F,24.5,19.9,17.6,70.9
Freddie Lewis,1967,1977,1943-07-01,Arizona State University,Freddie Lewis,1.8,79.4,24,34,G,G,24.5,21.0,16.7,62.7
Grady Lewis,1947,1949,1917-03-25,University of Oklahoma,Grady Lewis,2.0,97.5,30,32,F/C,F,24.4,20.4,19.9,77.6
Martin Lewis,1996,1997,1975-04-28,Seward County Community College,Martin Lewis,2.0,95.3,21,22,F,F,23.8,17.4,16.6,78.7
Mike Lewis,1969,1974,1946-03-18,Duke University,Mike Lewis,2.0,102.1,23,28,C/F,C,25.5,20.8,21.2,80.9
Quincy Lewis,2000,2004,1977-06-26,University of Minnesota,Quincy Lewis,2.0,97.5,23,27,F,F,24.4,19.3,18.8,78.7
Ralph Lewis,1988,1990,1963-03-28,La Salle University,Ralph Lewis,2.0,90.7,25,27,G,G,22.7,17.2,15.6,75.1
Rashard Lewis,1999,2014,1979-08-08,Unknown,Rashard Lewis,2.1,97.5,20,35,F,F,22.1,18.4,17.9,79.6
Reggie Lewis,1988,1993,1965-11-21,Northeastern University,Reggie Lewis,2.0,88.5,23,28,G/F,G,22.1,16.8,14.9,73.6
Marcus Liberty,1991,1994,1968-10-27,University of Illinois at Urbana-Champaign,Marcus Liberty,2.0,93.0,23,26,F,F,23.2,17.6,16.4,76.6
Todd Lichti,1990,1994,1967-01-08,Stanford University,Todd Lichti,1.9,93.0,23,27,G/F,G,25.8,21.0,19.5,73.5
Barry Liebowitz,1968,1968,1945-09-10,Long Island University,Barry Liebowitz,1.9,81.6,23,23,G,G,22.6,16.2,13.2,68.4
DeAndre Liggins,2012,2018,1988-03-31,University of Kentucky,Deandre Liggins,2.0,94.8,24,30,G,G,23.7,19.1,18.1,76.7
Bill Ligon,1975,1975,1952-05-29,Vanderbilt University,Bill Ligon,1.9,81.6,23,23,G,G,22.6,16.2,13.2,68.4
Goose Ligon,1968,1974,1944-02-22,Unknown,Goose Ligon,2.0,95.3,24,30,F/C,F,23.8,19.3,18.4,76.9
Damian Lillard,2013,2018,1990-07-15,Weber State University,Damian Lillard,1.9,88.5,23,28,G,G,24.5,19.6,17.3,71.2
Jeremy Lin,2011,2018,1988-08-23,Harvard University,Jeremy Lin,1.9,90.7,23,30,G,G,25.1,20.8,18.9,71.8
Steve Lingenfelter,1983,1984,1958-06-10,South Dakota State University,Steve Lingenfelter,2.1,102.1,25,26,F,F,23.2,17.6,18.0,84.1
Alton Lister,1982,1998,1958-10-01,Arizona State University,Alton Lister,2.1,108.9,24,40,C/F,C,24.7,22.6,24.6,84.3
Samuel Little,1970,1970,1946-03-29,Delta State University,Samuel Little,1.8,81.6,24,24,G,G,25.2,19.6,16.0,65.6
Gene Littles,1970,1975,1943-06-29,High Point University,Gene Littles,1.8,72.6,27,32,G,G,22.4,18.0,13.1,59.5
Randy Livingston,1997,2007,1975-04-02,Louisiana State University,Randy Livingston,1.9,94.8,22,32,G,G,26.3,22.7,21.5,73.3
Shaun Livingston,2005,2018,1985-09-11,Unknown,Shaun Livingston,2.0,87.1,20,33,G,G,21.8,17.6,15.3,71.8
Ron Livingstone,1950,1951,1925-10-09,University of Wyoming,Ron Livingstone,2.1,99.8,25,26,C,C,22.6,16.9,16.9,82.9
Horacio Llamas Grey,1997,1998,1973-07-17,Grand Canyon University,Horacio Llamas Grey,2.1,129.3,24,25,C,C,29.3,24.7,31.9,97.4
Bobby Lloyd,1968,1969,1946-01-03,Rutgers University,Bobby Lloyd,1.9,83.5,22,23,G,G,23.1,16.8,14.0,69.5
Chuck Lloyd,1971,1971,1947-05-22,Yankton College,Chuck Lloyd,2.0,99.8,24,24,C/F,C,25.0,19.3,19.3,80.5
Earl Lloyd,1951,1960,1928-04-03,West Virginia State University,Earl Lloyd,2.0,90.7,23,32,F/C,F,22.7,18.4,16.7,74.0
Lewis Lloyd,1982,1990,1959-02-22,Drake University,Lewis Lloyd,2.0,93.0,23,31,G/F,G,23.2,18.8,17.5,75.5
Scott Lloyd,1977,1983,1952-12-19,Arizona State University,Scott Lloyd,2.1,104.3,25,31,C/F,C,23.7,19.4,20.2,84.1
Riney Lochmann,1968,1970,1944-05-26,University of Kansas,Riney Lochmann,2.0,97.5,24,26,F,F,24.4,19.1,18.6,78.9
Bob Lochmueller,1953,1953,1927-06-05,University of Louisville,Bob Lochmueller,2.0,83.9,26,26,F,F,21.0,15.0,12.6,71.3
Rob Lock,1989,1989,1966-05-22,University of Kentucky,Rob Lock,2.1,102.1,23,23,F,F,23.2,16.9,17.3,84.8
Darrell Lockhart,1984,1984,1960-09-14,Auburn University,Darrell Lockhart,2.1,111.1,24,24,C,C,25.2,19.6,21.8,89.3
Ian Lockhart,1991,1991,1967-06-25,University of Tennessee,Ian Lockhart,2.0,108.9,24,24,F,F,27.2,22.0,24.0,84.9
Kevin Loder,1982,1984,1959-03-15,Alabama State University,Kevin Loder,2.0,93.0,23,25,F/G,F,23.2,17.4,16.2,76.8
Don Lofgran,1951,1954,1929-11-08,University of San Francisco,Don Lofgran,2.0,90.7,22,25,F/C,F,22.7,16.8,15.2,75.5
Henry Logan,1969,1970,1946-03-14,Western Carolina University,Henry Logan,1.8,81.6,23,24,G,G,25.2,19.6,16.0,65.6
John Logan,1947,1951,1921-01-01,Indiana University,John Logan,1.9,79.4,26,30,G,G,22.0,17.1,13.6,65.8
Brad Lohaus,1988,1998,1964-09-29,University of Iowa,Brad Lohaus,2.1,104.3,24,34,F/C,F,23.7,20.1,21.0,83.3
Art Long,2001,2003,1972-10-01,University of Cincinnati,Art Long,2.1,113.4,29,31,F,F,25.7,21.8,24.7,88.7
Grant Long,1989,2003,1966-03-12,Eastern Michigan University,Grant Long,2.0,102.1,23,37,F,F,25.5,22.9,23.4,78.7
John Long,1979,1997,1956-08-28,University of Detroit Mercy,John Long,2.0,88.5,23,41,G/F,G,22.1,19.8,17.5,71.0
Paul Long,1968,1971,1944-02-08,Wake Forest University,Paul Long,1.9,81.6,24,27,G,G,22.6,17.1,14.0,67.6
Shawn Long,2017,2017,1993-01-29,University of Louisiana at Lafayette,Shawn Long,2.1,115.7,24,24,C/F,C,26.2,20.8,24.1,91.6
Willie Long,1972,1974,1950-03-01,University of New Mexico,Willie Long,2.0,102.1,22,24,F/C,F,25.5,19.9,20.3,81.8
Luc Longley,1992,2001,1969-01-19,University of New Mexico,Luc Longley,2.2,120.2,23,32,C,C,24.8,20.9,25.1,95.1
Kevon Looney,2016,2018,1996-02-06,"University of California, Los Angeles",Kevon Looney,2.1,99.8,20,22,F/C,F,22.6,16.0,16.0,83.8
Brook Lopez,2009,2018,1988-04-01,Stanford University,Brook Lopez,2.1,124.7,21,30,C,C,28.3,24.7,30.8,93.9
Felipe Lopez,1999,2002,1974-12-19,St. John's University,Felipe Lopez,2.0,90.3,25,28,G,G,22.6,17.4,15.7,74.6
Raul Lopez,2004,2005,1980-04-15,Unknown,Raul Lopez,1.9,77.1,24,25,G,G,21.4,15.2,11.7,65.4
Robin Lopez,2009,2018,1988-04-01,Stanford University,Robin Lopez,2.1,115.7,21,30,C,C,26.2,22.1,25.6,90.1
Ryan Lorthridge,1995,1995,1972-07-27,Jackson State University,Ryan Lorthridge,1.9,86.2,23,23,G,G,23.9,17.8,15.3,70.9
Jim Loscutoff,1956,1964,1930-02-04,University of Oregon,Jim Loscutoff,2.0,99.8,26,34,F,F,25.0,21.6,21.6,78.2
Plummer Lott,1968,1969,1945-12-11,Seattle University,Plummer Lott,2.0,95.3,23,24,F/G,F,23.8,17.9,17.1,78.2
Kevin Loughery,1963,1973,1940-03-28,St. John's University,Kevin Loughery,1.9,86.2,23,33,G,G,23.9,20.1,17.3,68.9
Bob Love,1967,1977,1942-12-08,Southern University and A&M College,Bob Love,2.0,97.5,25,35,F,F,24.4,21.1,20.6,76.9
Kevin Love,2009,2018,1988-09-07,"University of California, Los Angeles",Kevin Love,2.1,113.9,21,30,F,F,25.8,21.7,24.7,89.2
Stan Love,1972,1975,1949-04-09,University of Oregon,Stan Love,2.1,97.5,23,26,F,F,22.1,16.3,15.9,81.6
Clyde Lovellette,1954,1964,1929-09-07,University of Kansas,Clyde Lovellette,2.1,106.1,25,35,C/F,C,24.1,20.8,22.1,84.0
Sidney Lowe,1984,1990,1960-01-21,North Carolina State University,Sidney Lowe,1.8,88.5,24,30,G,G,27.3,23.5,20.8,67.7
Charlie Lowery,1972,1972,1949-11-12,University of Puget Sound,Charlie Lowery,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
Kyle Lowry,2007,2018,1986-03-25,Villanova University,Kyle Lowry,1.8,93.0,21,32,G,G,28.7,25.6,23.8,69.2
Al Lucas,1949,1949,1922-07-04,Fordham University,Al Lucas,1.9,88.5,27,27,F/G,F,24.5,19.4,17.2,71.3
Jerry Lucas,1964,1974,1940-03-30,Ohio State University,Jerry Lucas,2.0,104.3,24,34,F/C,F,26.1,22.9,23.9,80.4
John Lucas,1977,1990,1953-10-31,University of Maryland,John Lucas,1.9,79.4,24,37,G,G,22.0,18.7,14.8,64.6
Kalin Lucas,2015,2015,1989-05-24,Michigan State University,Kalin Lucas,1.9,88.5,26,26,G,G,24.5,19.2,17.0,71.5
Maurice Lucas,1975,1988,1952-02-18,Marquette University,Maurice Lucas,2.1,97.5,23,36,F/C,F,22.1,18.6,18.1,79.4
John Lucas III,2006,2017,1982-11-21,Oklahoma State University,John Lucas Iii,1.8,75.3,24,35,G,G,23.2,19.7,14.8,60.5
Ted Luckenbill,1962,1963,1939-07-27,University of Houston,Ted Luckenbill,2.0,93.0,23,24,F,F,23.2,17.2,16.0,77.0
Tyronn Lue,1999,2009,1977-05-03,University of Nebraska,Tyronn Lue,1.8,79.4,22,32,G,G,24.5,20.6,16.4,63.0
Jim Luisi,1954,1954,1928-11-02,St. Francis College,Jim Luisi,1.9,81.6,26,26,G,G,22.6,16.9,13.8,67.8
Al Lujack,1947,1947,1920-10-05,Georgetown University,Al Lujack,1.9,99.8,27,27,F,F,27.6,23.1,23.1,76.7
Phil Lumpkin,1975,1976,1951-12-20,Miami University,Phil Lumpkin,1.8,74.8,24,25,G,G,23.1,17.3,12.9,61.9
Ray Lumpp,1949,1953,1923-07-11,New York University,Ray Lumpp,1.9,80.7,26,30,G,G,22.4,17.6,14.2,66.5
Timothe Luwawu-Cabarrot,2017,2018,1995-05-09,Unknown,Timothe Luwawucabarrot,2.0,93.0,22,23,F,F,23.2,16.9,15.7,77.3
Tyler Lydon,2018,2018,1996-04-09,Syracuse University,Tyler Lydon,2.1,97.5,22,22,F,F,22.1,15.4,15.0,82.5
Trey Lyles,2016,2018,1995-11-05,University of Kentucky,Trey Lyles,2.1,106.1,21,23,F,F,24.1,18.0,19.1,87.0
R.B. Lynam,1968,1968,,Oklahoma Baptist University,Rb Lynam,1.9,86.2,,,G,G,23.9,,,
George Lynch,1994,2005,1970-09-03,University of North Carolina,George Lynch,2.0,98.9,24,35,F,F,24.7,21.5,21.3,77.6
Kevin Lynch,1992,1993,1968-12-24,University of Minnesota,Kevin Lynch,2.0,88.5,24,25,G/F,G,22.1,16.1,14.2,74.3
Lonnie Lynn,1970,1970,1943-05-24,Wilberforce University,Lonnie Lynn,2.0,97.5,27,27,F,F,24.4,19.3,18.8,78.7
Mike Lynn,1970,1971,1945-11-25,"University of California, Los Angeles",Mike Lynn,2.0,97.5,25,26,F,F,24.4,19.1,18.6,78.9
Sheldon Mac,2017,2017,1992-12-21,University of Miami,Sheldon Mac,2.0,90.7,25,25,G,G,22.7,16.8,15.2,75.5
Mike Macaluso,1974,1974,1951-07-20,Canisius College,Mike Macaluso,2.0,95.3,23,23,F,F,23.8,17.7,16.9,78.4
Ed Macauley,1950,1959,1928-03-22,Saint Louis University,Ed Macauley,2.0,83.9,22,31,C/F,C,21.0,16.1,13.5,70.4
Todd MacCulloch,2000,2003,1976-01-27,University of Washington,Todd Macculloch,2.1,127.0,24,27,C,C,28.8,24.6,31.2,95.8
Ronnie MacGilvray,1955,1955,1930-07-20,St. John's University,Ronnie Macgilvray,1.9,83.9,25,25,G,G,23.2,17.4,14.6,69.3
Scott Machado,2013,2013,1990-06-08,Iona College,Scott Machado,1.9,93.0,23,23,G,G,25.8,20.0,18.6,74.4
Arvydas Macijauskas,2006,2006,1980-01-19,Unknown,Arvydas Macijauskas,1.9,97.1,26,26,G,G,26.9,22.1,21.5,75.6
Ollie Mack,1980,1982,1957-06-06,East Carolina University,Ollie Mack,1.9,83.9,23,25,G,G,23.2,17.4,14.6,69.3
Sam Mack,1993,2002,1970-05-26,University of Houston,Sam Mack,2.0,99.8,23,32,F/G,F,25.0,21.2,21.2,78.6
Shelvin Mack,2012,2018,1990-04-22,Butler University,Shelvin Mack,1.9,92.1,22,28,G,G,25.5,20.8,19.2,72.9
Malcolm Mackey,1994,1994,1970-07-11,Georgia Institute of Technology,Malcolm Mackey,2.1,112.5,24,24,F/C,F,25.5,19.9,22.4,90.1
Rudy Macklin,1982,1984,1958-02-19,Louisiana State University,Rudy Macklin,2.0,93.0,24,26,F/G,F,23.2,17.6,16.4,76.6
Vernon Macklin,2012,2012,1986-09-20,University of Florida,Vernon Macklin,2.1,103.0,26,26,F,F,23.4,17.9,18.4,84.6
Johnny Macknowsky,1950,1951,1923-01-07,Seton Hall University,Johnny Macknowsky,1.8,81.6,27,28,G/F,G,25.2,20.5,16.7,64.9
Don MacLean,1993,2001,1970-01-16,"University of California, Los Angeles",Don Maclean,2.1,106.6,23,31,F,F,24.2,20.0,21.3,85.3
Mark Macon,1992,1999,1969-04-14,Temple University,Mark Macon,2.0,83.9,23,30,G,G,21.0,15.9,13.3,70.6
Kyle Macy,1981,1987,1957-04-09,University of Kentucky,Kyle Macy,1.9,79.4,24,30,G,G,22.0,17.1,13.6,65.8
Jack Maddox,1949,1949,1919-12-10,West Texas A&M University,Jack Maddox,1.9,83.9,30,30,F/G,F,23.2,18.5,15.5,68.4
Tito Maddox,2003,2003,1981-06-07,"California State University, Fresno",Tito Maddox,1.9,86.2,22,22,G,G,23.9,17.5,15.1,71.1
Gerald Madkins,1994,1998,1969-04-18,"University of California, Los Angeles",Gerald Madkins,1.9,90.7,25,29,G,G,25.1,20.6,18.7,72.0
Mark Madsen,2001,2009,1976-01-28,Stanford University,Mark Madsen,2.1,108.9,25,33,F,F,24.7,21.0,22.9,86.0
Norm Mager,1951,1951,1926-03-23,City College of New York,Norm Mager,2.0,83.9,25,25,F,F,21.0,14.8,12.4,71.5
Josh Magette,2018,2018,1989-11-28,Alabama - Huntsville,Josh Magette,1.9,72.6,29,29,G,G,20.1,14.6,10.6,62.0
Corey Maggette,2000,2013,1979-11-12,Duke University,Corey Maggette,2.0,98.9,21,34,F,F,24.7,21.3,21.1,77.8
Dave Magley,1983,1983,1959-11-24,University of Kansas,Dave Magley,2.0,91.6,24,24,F,F,22.9,16.8,15.4,76.2
Jamaal Magloire,2001,2012,1978-05-21,University of Kentucky,Jamaal Magloire,2.1,117.5,23,34,C,C,26.6,23.5,27.6,89.9
Randolph Mahaffey,1968,1971,1945-09-28,Clemson University,Randolph Mahaffey,2.0,95.3,23,26,F,F,23.8,18.3,17.4,77.9
Ian Mahinmi,2008,2018,1986-11-05,Unknown,Ian Mahinmi,2.1,113.4,22,32,C,C,25.7,22.0,24.9,88.5
John Mahnken,1947,1953,1922-06-16,Georgetown University,John Mahnken,2.0,99.8,25,31,C,C,25.0,20.9,20.9,78.9
Brian Mahoney,1973,1973,1948-12-17,Manhattan College,Brian Mahoney,1.9,79.4,25,25,G,G,22.0,16.0,12.7,66.7
Mo Mahoney,1953,1954,1927-11-20,Brown University,Mo Mahoney,1.9,93.0,26,27,F,F,25.8,21.0,19.5,73.5
Rick Mahorn,1981,1999,1958-09-21,Hampton University,Rick Mahorn,2.1,108.9,23,41,C/F,C,24.7,22.9,24.9,84.0
Dan Majerle,1989,2002,1965-09-09,Central Michigan University,Dan Majerle,2.0,97.5,24,37,G/F,G,24.4,21.6,21.1,76.4
Renaldo Major,2007,2007,1982-05-07,"California State University, Fresno",Renaldo Major,2.0,90.7,25,25,F,F,22.7,16.8,15.2,75.5
Thon Maker,2017,2018,1997-02-25,Unknown,Thon Maker,2.2,98.0,20,21,F/C,F,20.2,12.9,12.6,85.4
Lionel Malamed,1949,1949,1924-11-15,City College of New York,Lionel Malamed,1.8,68.0,25,25,G,G,21.0,14.8,10.1,57.9
Jeff Malone,1984,1996,1961-06-28,Mississippi State University,Jeff Malone,1.9,93.0,23,35,G,G,25.8,22.8,21.2,71.8
Karl Malone,1986,2004,1963-07-24,Louisiana Tech University,Karl Malone,2.1,113.4,23,41,F,F,25.7,24.1,27.3,86.1
Moses Malone,1975,1995,1955-03-23,Unknown,Moses Malone,2.1,97.5,20,40,C/F,C,22.1,19.5,19.0,78.5
Matt Maloney,1997,2003,1971-12-06,University of Pennsylvania,Matt Maloney,1.9,87.1,26,32,G,G,24.1,20.1,17.5,69.6
Steve Malovic,1980,1980,1956-07-21,San Diego State University,Steve Malovic,2.1,104.3,24,24,F,F,23.7,17.8,18.6,85.7
Mike Maloy,1971,1973,1949-05-10,Davidson College,Mike Maloy,2.0,97.5,22,24,F,F,24.4,18.6,18.1,79.4
Ted Manakas,1974,1974,1951-02-22,Princeton University,Ted Manakas,1.9,81.6,23,23,G,G,22.6,16.2,13.2,68.4
John Mandic,1949,1950,1919-10-03,Oregon State University,John Mandic,1.9,93.0,30,31,F/C,F,25.8,21.9,20.4,72.6
Frank Mangiapane,1947,1947,1925-08-05,New York University,Frank Mangiapane,1.8,88.5,22,22,G,G,27.3,21.6,19.1,69.4
Danny Manning,1989,2003,1966-05-17,University of Kansas,Danny Manning,2.1,104.3,23,37,F/C,F,23.7,20.7,21.6,82.7
Ed Manning,1968,1976,1944-01-02,Jackson State University,Ed Manning,2.0,95.3,24,32,F,F,23.8,19.7,18.8,76.5
Guy Manning,1968,1969,1944-02-04,Prairie View A&M University,Guy Manning,2.0,88.5,24,25,F,F,22.1,16.1,14.2,74.3
Rich Manning,1996,1997,1970-06-23,University of Washington,Rich Manning,2.1,114.8,26,27,C,C,26.0,21.2,24.3,90.5
Pace Mannion,1984,1989,1960-09-22,University of Utah,Pace Mannion,2.0,86.2,24,29,G,G,21.6,16.4,14.1,72.1
Nick Mantis,1960,1963,1935-12-07,Northwestern University,Nick Mantis,1.9,86.2,25,28,G,G,23.9,18.9,16.3,69.9
Pete Maravich,1971,1980,1947-06-22,Louisiana State University,Pete Maravich,2.0,89.4,24,33,G,G,22.4,18.3,16.4,73.0
Press Maravich,1947,1947,1920-08-20,Davis & Elkins College,Press Maravich,1.8,83.9,27,27,G,G,25.9,21.1,17.7,66.2
Devyn Marble,2015,2016,1992-09-21,University of Iowa,Devyn Marble,2.0,90.7,23,24,G/F,G,22.7,16.6,15.1,75.6
Roy Marble,1990,1994,1966-12-13,University of Iowa,Roy Marble,2.0,86.2,24,28,G/F,G,21.6,16.2,14.0,72.2
Stephon Marbury,1997,2009,1977-02-20,Georgia Institute of Technology,Stephon Marbury,1.9,81.6,20,32,G,G,22.6,18.3,14.9,66.7
Sarunas Marciulionis,1990,1997,1964-06-13,Unknown,Sarunas Marciulionis,2.0,90.7,26,33,G,G,22.7,18.6,16.9,73.8
Saul Mariaschin,1948,1948,1924-09-01,Harvard University,Saul Mariaschin,1.8,74.8,24,24,G,G,23.1,17.0,12.7,62.1
Jack Marin,1967,1977,1944-10-12,Duke University,Jack Marin,2.0,90.7,23,33,F/G,F,22.7,18.6,16.9,73.8
Shawn Marion,2000,2015,1978-05-07,"University of Nevada, Las Vegas",Shawn Marion,2.0,99.8,22,37,F,F,25.0,22.3,22.3,77.5
Boban Marjanovic,2016,2018,1988-08-15,Unknown,Boban Marjanovic,2.2,131.5,28,30,C,C,27.2,23.3,30.6,100.9
Lauri Markkanen,2018,2018,1997-05-22,University of Arizona,Lauri Markkanen,2.1,104.3,21,21,F,F,23.7,17.1,17.8,86.5
Damir Markota,2007,2007,1985-12-26,Unknown,Damir Markota,2.1,102.1,22,22,C,C,23.2,16.7,17.1,85.0
Sean Marks,1999,2011,1975-08-23,University of California,Sean Marks,2.1,113.4,24,36,F/C,F,25.7,22.9,26.0,87.4
Harvey Marlatt,1971,1973,1948-08-26,Eastern Michigan University,Harvey Marlatt,1.9,83.9,23,25,G,G,23.2,17.4,14.6,69.3
Jim Marsh,1972,1972,1946-04-26,University of Southern California,Jim Marsh,2.0,97.5,26,26,F,F,24.4,19.1,18.6,78.9
Ricky Marsh,1978,1978,1954-03-10,Manhattan College,Ricky Marsh,1.9,90.7,24,24,G,G,25.1,19.4,17.6,73.1
Donny Marshall,1996,2003,1972-07-17,University of Connecticut,Donny Marshall,2.0,104.3,24,31,F,F,26.1,22.3,23.3,81.0
Donyell Marshall,1995,2009,1973-05-18,University of Connecticut,Donyell Marshall,2.1,98.9,22,36,F,F,22.4,19.0,18.8,80.1
Kendall Marshall,2013,2016,1991-08-19,University of North Carolina,Kendall Marshall,1.9,90.7,22,25,G,G,25.1,19.7,17.9,72.8
Rawle Marshall,2006,2007,1982-02-20,Oakland University,Rawle Marshall,2.1,86.2,24,25,G/F,G,19.5,13.0,11.2,75.0
Tom Marshall,1955,1959,1931-01-06,Western Kentucky University,Tom Marshall,1.9,97.5,24,28,F/G,F,27.0,22.6,22.0,75.5
Vester Marshall,1974,1974,1948-12-22,University of Oklahoma,Vester Marshall,2.0,90.7,26,26,F,F,22.7,17.0,15.4,75.3
Bill Martin,1986,1988,1962-08-16,Georgetown University,Bill Martin,2.0,93.0,24,26,F,F,23.2,17.6,16.4,76.6
Bob Martin,1994,1995,1969-10-07,University of Minnesota,Bob Martin,2.1,113.4,25,26,C,C,25.7,20.6,23.4,90.0
Brian Martin,1986,1986,1962-08-18,University of Kansas,Brian Martin,2.1,96.2,24,24,F,F,21.8,15.5,14.9,81.3
Cartier Martin,2009,2015,1984-11-20,Kansas State University,Cartier Martin,2.0,99.8,25,31,F,F,25.0,20.9,20.9,78.9
